episode,total_reward,steps
588,70604.90161132812,25
589,70736.13916015625,25
590,70663.21752929688,25
591,70645.27270507812,25
592,70991.52978515625,25
593,70503.06030273438,25
594,70600.07299804688,25
595,70826.25170898438,25
596,70413.07983398438,25
597,70847.4609375,25
598,71098.19580078125,25
599,70786.12768554688,25
600,71181.17138671875,25
601,70772.87182617188,25
602,71023.48754882812,25
603,70595.0888671875,25
604,70411.1328125,25
605,70726.89282226562,25
606,70681.8173828125,25
607,70597.59423828125,25
608,70643.54541015625,25
609,70984.96899414062,25
610,70851.10546875,25
611,70701.90014648438,25
612,70366.71850585938,25
613,70662.107421875,25
614,71233.162109375,25
615,71112.25756835938,25
616,71273.17114257812,25
617,70513.64453125,25
618,70884.17138671875,25
619,70651.99389648438,25
620,71107.6376953125,25
621,70760.0419921875,25
622,71185.93530273438,25
623,70950.29833984375,25
624,70530.24438476562,25
625,70799.63037109375,25
626,70618.87329101562,25
627,70683.91821289062,25
628,70683.97998046875,25
629,71035.51245117188,25
630,70549.16357421875,25
631,70595.52612304688,25
632,70730.82495117188,25
633,70667.9453125,25
634,70777.17724609375,25
635,70575.96899414062,25
636,70459.9267578125,25
637,70983.97119140625,25
638,70521.64868164062,25
639,70692.64672851562,25
640,70604.81591796875,25
641,70572.86840820312,25
642,70830.88842773438,25
643,70437.62866210938,25
644,70375.5439453125,25
645,71194.1171875,25
646,71304.88452148438,25
647,70733.2353515625,25
648,70662.26977539062,25
649,69414.91552734375,25
650,69017.30810546875,25
651,68465.0078125,25
652,68661.19873046875,25
653,69063.96069335938,25
654,68468.48291015625,25
655,69012.10498046875,25
656,68734.28540039062,25
657,69514.9580078125,25
658,68880.6396484375,25
659,68560.63696289062,25
660,69057.76000976562,25
661,68790.52709960938,25
662,69137.01318359375,25
663,69225.77221679688,25
664,68783.38525390625,25
665,68979.49047851562,25
666,69455.85327148438,25
667,69316.41430664062,25
668,69186.08081054688,25
669,69437.9052734375,25
670,69529.78198242188,25
671,69335.458984375,25
672,69602.85864257812,25
673,69247.1533203125,25
674,69519.46826171875,25
675,69353.86352539062,25
676,68952.046875,25
677,69829.59350585938,25
678,69419.029296875,25
679,69235.58984375,25
680,69812.12280273438,25
681,69592.072265625,25
682,69304.28564453125,25
683,69791.60522460938,25
684,69140.14599609375,25
685,69333.23291015625,25
686,69609.19750976562,25
687,69134.18823242188,25
688,68982.890625,25
689,69515.607421875,25
690,68841.06689453125,25
691,68922.69067382812,25
692,69348.1435546875,25
693,69309.0751953125,25
694,69081.91357421875,25
695,69470.94213867188,25
696,69606.99682617188,25
697,70076.9287109375,25
698,69569.52319335938,25
699,69213.65576171875,25
700,69412.0390625,25
701,69832.70703125,25
702,69566.56591796875,25
703,69388.92114257812,25
704,69301.05224609375,25
705,69250.72900390625,25
706,69615.64624023438,25
707,69499.40112304688,25
708,69832.2470703125,25
709,69720.87451171875,25
710,69744.94848632812,25
711,69513.76416015625,25
712,69566.24340820312,25
713,69550.66381835938,25
714,69541.08081054688,25
715,69953.74877929688,25
716,69897.755859375,25
717,69723.71142578125,25
718,68829.74560546875,25
719,69512.30297851562,25
720,69136.66040039062,25
721,69580.72387695312,25
722,69757.59008789062,25
723,69824.85302734375,25
724,69724.07299804688,25
725,69437.56372070312,25
726,69310.1484375,25
727,69511.67944335938,25
728,69738.50170898438,25
729,69724.7275390625,25
730,69768.98779296875,25
731,69995.43798828125,25
732,69829.09448242188,25
733,69609.2890625,25
734,69332.8203125,25
735,70161.00048828125,25
736,69525.61474609375,25
737,69985.244140625,25
738,69280.82397460938,25
739,69746.755859375,25
740,69482.68798828125,25
741,69687.31201171875,25
742,69625.3935546875,25
743,70051.6904296875,25
744,69981.85961914062,25
745,69372.2255859375,25
746,69653.63891601562,25
747,69368.9404296875,25
748,69444.53125,25
749,69584.74365234375,25
750,70092.8818359375,25
751,69637.76318359375,25
752,69693.8359375,25
753,69798.99609375,25
754,69667.18920898438,25
755,69919.31176757812,25
756,69568.36865234375,25
757,69536.517578125,25
758,69852.41552734375,25
759,69545.6435546875,25
760,69517.5302734375,25
761,69605.63525390625,25
762,69311.30786132812,25
763,70002.53735351562,25
764,69347.31420898438,25
765,69520.46557617188,25
766,69491.80712890625,25
767,69295.32275390625,25
768,69949.54125976562,25
769,69594.29516601562,25
770,70119.57690429688,25
771,70008.80102539062,25
772,69361.27734375,25
773,70185.2724609375,25
774,68987.0859375,25
775,69535.10864257812,25
776,69980.826171875,25
777,69575.36352539062,25
778,69667.40991210938,25
779,69845.00390625,25
780,69138.53271484375,25
781,69567.46557617188,25
782,69668.91088867188,25
783,69594.52685546875,25
784,69720.859375,25
785,69381.05883789062,25
786,69678.3916015625,25
787,69864.11328125,25
788,69604.19995117188,25
789,69428.716796875,25
790,69526.62719726562,25
791,69166.01538085938,25
792,70190.33251953125,25
793,69713.32739257812,25
794,69657.44677734375,25
795,69436.44946289062,25
796,69792.1845703125,25
797,69701.91748046875,25
798,70047.42895507812,25
799,69538.93286132812,25
800,69443.791015625,25
801,69898.0009765625,25
802,69405.93701171875,25
803,69441.32885742188,25
804,69809.27978515625,25
805,69695.76098632812,25
806,69126.98266601562,25
807,69516.29541015625,25
808,69820.4853515625,25
809,69845.27587890625,25
810,69513.73828125,25
811,70006.9716796875,25
812,70090.0517578125,25
813,69666.04711914062,25
814,69809.64477539062,25
815,69671.26806640625,25
816,69442.3623046875,25
817,69869.2421875,25
818,69778.08642578125,25
819,69607.85131835938,25
820,69452.27465820312,25
821,69280.052734375,25
822,69802.99877929688,25
823,69397.67651367188,25
824,69467.85498046875,25
825,69617.08081054688,25
826,69808.15161132812,25
827,69390.35668945312,25
828,69788.87841796875,25
829,69580.83618164062,25
830,70093.78076171875,25
831,69942.09204101562,25
832,69710.22875976562,25
833,69523.13696289062,25
834,69286.833984375,25
835,69384.69506835938,25
836,69614.212890625,25
837,70054.32739257812,25
838,69497.65869140625,25
839,69207.55590820312,25
840,69774.2744140625,25
841,69487.17211914062,25
842,69851.85522460938,25
843,69390.84130859375,25
844,69621.60034179688,25
845,69594.50390625,25
846,69758.63793945312,25
847,69924.166015625,25
848,69878.98095703125,25
849,69761.1396484375,25
850,69814.81811523438,25
851,69748.65405273438,25
852,69534.884765625,25
853,70036.81811523438,25
854,69271.26489257812,25
855,69331.52368164062,25
856,69321.3330078125,25
857,69891.2822265625,25
858,69324.52905273438,25
859,69664.33203125,25
860,69848.49072265625,25
861,70112.03369140625,25
862,69224.03149414062,25
863,69551.02685546875,25
864,69755.794921875,25
865,69826.00024414062,25
866,69186.89331054688,25
867,69665.12329101562,25
868,69799.59130859375,25
869,69488.45190429688,25
870,69602.95825195312,25
871,69459.54296875,25
872,69636.19677734375,25
873,69836.705078125,25
874,69970.96606445312,25
875,69700.90649414062,25
876,69548.90893554688,25
877,69755.85668945312,25
878,69773.83520507812,25
879,69484.2705078125,25
880,70035.35131835938,25
881,69669.47583007812,25
882,69664.55395507812,25
883,69742.45263671875,25
884,69693.44995117188,25
885,69588.83837890625,25
886,69479.02026367188,25
887,69575.54516601562,25
888,69836.75732421875,25
889,69182.16772460938,25
890,69687.93774414062,25
891,70112.24926757812,25
892,69520.8896484375,25
893,69157.208984375,25
894,69494.07934570312,25
895,69857.78442382812,25
896,69766.759765625,25
897,69092.59423828125,25
898,69302.58447265625,25
899,69578.03100585938,25
900,69239.3564453125,25
901,69671.26440429688,25
902,69470.41625976562,25
903,69117.20288085938,25
904,69425.24926757812,25
905,69660.05786132812,25
906,69625.23266601562,25
907,69478.96508789062,25
908,69681.7099609375,25
909,69923.07104492188,25
910,70188.724609375,25
911,70022.22607421875,25
912,70174.10620117188,25
913,69403.01220703125,25
914,69663.462890625,25
915,69945.87329101562,25
916,69378.75439453125,25
917,69833.93505859375,25
918,69505.3583984375,25
919,69602.697265625,25
920,69277.96752929688,25
921,69561.34155273438,25
922,69365.51513671875,25
923,69328.25170898438,25
924,69977.72827148438,25
925,69493.71166992188,25
926,69358.03540039062,25
927,69624.59399414062,25
928,69739.76171875,25
929,69837.45581054688,25
930,69652.28491210938,25
931,69804.93969726562,25
932,70033.40551757812,25
933,69689.81787109375,25
934,69158.8759765625,25
935,69343.95849609375,25
936,69285.74438476562,25
937,69500.599609375,25
938,69233.23193359375,25
939,69632.2353515625,25
940,69558.42919921875,25
941,69683.43920898438,25
942,70215.25830078125,25
943,69519.19067382812,25
944,69511.30078125,25
945,69814.94165039062,25
946,69241.40356445312,25
947,69735.1650390625,25
948,69503.67260742188,25
949,69745.5361328125,25
950,69355.8623046875,25
951,69389.53759765625,25
952,70058.90478515625,25
953,69735.37573242188,25
954,69480.6806640625,25
955,69291.43090820312,25
956,69331.97924804688,25
957,69449.92529296875,25
958,69107.43310546875,25
959,69850.64086914062,25
960,69417.30102539062,25
961,69711.57373046875,25
962,69883.64013671875,25
963,69527.591796875,25
964,69240.88647460938,25
965,69620.96411132812,25
966,69315.52197265625,25
967,69122.82446289062,25
968,69694.33081054688,25
969,69558.6513671875,25
970,69722.03784179688,25
971,69512.35107421875,25
972,69825.23022460938,25
973,69436.126953125,25
974,69611.37036132812,25
975,69648.44946289062,25
976,69603.79858398438,25
977,69609.80908203125,25
978,69567.74682617188,25
979,69931.80639648438,25
980,69953.10278320312,25
981,69600.23510742188,25
982,69661.02392578125,25
983,69493.65356445312,25
984,69439.48510742188,25
985,69367.82250976562,25
986,69817.61010742188,25
987,69618.869140625,25
988,69928.42407226562,25
989,70122.64599609375,25
990,69932.61206054688,25
991,69707.72729492188,25
992,69641.48876953125,25
993,69396.38623046875,25
994,69822.39379882812,25
995,69537.46484375,25
996,69486.81225585938,25
997,69564.85009765625,25
998,69689.27856445312,25
999,69575.58251953125,25
1000,69606.10864257812,25
1001,69669.2353515625,25
1002,69880.35327148438,25
1003,69645.51782226562,25
1004,69676.88452148438,25
1005,69788.34716796875,25
1006,69362.21801757812,25
1007,69526.1962890625,25
1008,69938.10375976562,25
1009,69572.36083984375,25
1010,69724.482421875,25
1011,69945.5771484375,25
1012,69295.96435546875,25
1013,69750.32641601562,25
1014,69859.59155273438,25
1015,69450.76904296875,25
1016,69596.79516601562,25
1017,69050.60961914062,25
1018,69617.81762695312,25
1019,69665.27294921875,25
1020,69889.4599609375,25
1021,69380.552734375,25
1022,69643.697265625,25
1023,69225.15234375,25
1024,69431.94482421875,25
1025,69591.076171875,25
1026,69435.49096679688,25
1027,69316.66235351562,25
1028,69641.39892578125,25
1029,69629.14770507812,25
1030,69175.83129882812,25
1031,69846.13891601562,25
1032,69250.87353515625,25
1033,69216.70458984375,25
1034,69452.3896484375,25
1035,69341.34936523438,25
1036,69741.51806640625,25
1037,69404.69604492188,25
1038,68922.44921875,25
1039,69693.65356445312,25
1040,69488.49877929688,25
1041,69561.02758789062,25
1042,69739.5078125,25
1043,69636.81225585938,25
1044,69697.44384765625,25
1045,70050.8984375,25
1046,69587.6650390625,25
1047,69529.310546875,25
1048,69438.18212890625,25
1049,69830.16333007812,25
1050,69582.52490234375,25
1051,68926.71850585938,25
1052,69524.08813476562,25
1053,69485.7626953125,25
1054,69705.60668945312,25
1055,69823.89331054688,25
1056,69637.337890625,25
1057,69646.33276367188,25
1058,69458.833984375,25
1059,69939.87939453125,25
1060,69302.53735351562,25
1061,69717.82397460938,25
1062,69543.52319335938,25
1063,69227.16162109375,25
1064,69914.94287109375,25
1065,69360.82055664062,25
1066,69545.52075195312,25
1067,69982.96801757812,25
1068,69825.47241210938,25
1069,69304.60961914062,25
1070,69293.99560546875,25
1071,69575.60473632812,25
1072,69050.10668945312,25
1073,69557.47631835938,25
1074,69809.1435546875,25
1075,69845.36450195312,25
1076,69864.8017578125,25
1077,69641.2880859375,25
1078,69661.5087890625,25
1079,69820.45751953125,25
1080,69167.546875,25
1081,69578.60375976562,25
1082,69392.15185546875,25
1083,69752.1201171875,25
1084,69742.8310546875,25
1085,69635.19677734375,25
1086,69687.93408203125,25
1087,69595.50805664062,25
1088,69895.95458984375,25
1089,69708.1796875,25
1090,69562.58129882812,25
1091,69314.42456054688,25
1092,69515.966796875,25
1093,69276.22705078125,25
1094,69945.55688476562,25
